Metric,KNN (Train),KNN (Test),Linear Reg (Train),Linear Reg (Test)
R² Score,0.9652332204415203,0.9629495926330063,0.4986903824521448,0.5029119266951725
RMSE ($),1.6352170941768205,1.6877385495180632,6.209350923250931,6.181948006526
MAE ($),1.0525457630610335,1.08453125796142,5.0097727369567275,4.988225551575684
CV Score (Mean),0.9612392303433583,0.9612392303433583,0.4986482526640252,0.4986482526640252
